"ID","Name","Damage Balance","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Defence","Charge","Weight","Skill","Cooldown","Ammunition","Magazine","Shot Number","Range","Cost","Damage Sprite","Travel Speed","Damage Sprite Effect","After Reach Effect","After Attack Effect","Sound Effect","Sound Distance","Bullet Sound Distance","Common Action","Attack Action","Replace Sprite","Properties","Tag"
1,"Unarmed",80,1,0,0,10,11,0,0,0,,1,0,0,0,8,0,"Crush Small (team)",0,,,,,3,,"1hand","Punch",,,"Melee"
2,"Sword",65,10,0,0,17,8,5,5,5,,2,0,0,0,15,,"Slash Medium (team)",0,,,,"Swing Flat",7,,"1hand","Slash",,,"Melee"
3,"Greatsword",50,20,0,0,45,13,3,12,10,24,4,0,0,0,22,,"Slash Big (team)",0,,,,"Swing Flat Large",11,,"2hand","Slash",,"hold,power","Melee"
4,"Shortsword",70,7,0,0,11,5,2,2,2,63,1.5,0,0,0,14,,"Slash Small (team)",0,,,,"Swing Flat Small",6,,"1hand","Pierce",,,"Melee"
5,"Dagger",75,5,0,0,60,4,2,1,1,63,1,0,0,0,11,,"Pierce Small (team)",0,,,,"Pierce Small",5,,"1hand","Pierce",,"parry","Melee"
6,"Spear",65,6,0,0,13,8,4,10,5,,3,0,0,0,21,,"Pierce Medium (team)",0,,,,"Pierce",7,,"1pole","Pierce",,"hold,chargeblock","Melee"
7,"Club",40,7,0,0,35,13,5,3,7,,2.5,0,0,0,15,,"Crush Medium (team)",0,,,,"Swing Bulk",8,,"1hand","Smash",,,"Melee"
8,"Mace",45,5,0,0,50,16,5,3,9,,2.5,0,0,0,15,,"Crush Medium (team)",0,,,,"Swing Bulk",8,,"1hand","Smash",,,"Melee"
9,"Great Mace",35,16,0,0,62,30,4,4,15,66,5,0,0,0,21,,"Crush Big (team)",0,,,,"Swing Bulk Large",12,,"2pole","Smash",,"hold,power","Melee"
10,"Flail",45,8,0,0,50,14,2,1,7,,3,0,0,0,17,,"Crush Medium (team)",0,,,,,8,,"1hand","Smash",,,"Melee"
11,"Hammer",35,7,0,0,60,15,5,3,11,,3,0,0,0,15,,"Crush Medium (team)",0,,,,"Swing Bulk",10,,"1hand","Smash",,,"Melee"
12,"War Hammer",25,15,0,0,70,25,4,3,18,66,5,0,0,0,21,,"Crush Big (team)",0,,,,"Swing Bulk Large",15,,"2pole","Smash",,"hold,power","Melee"
13,"Handaxe",30,13,0,0,30,9,4,4,7,,2.5,0,0,0,15,,"Slash Medium (team)",0,,,,"Swing Flat",7,,"1hand","Slash",,,"Melee"
14,"Greataxe",15,24,0,0,55,14,3,8,12,,4.5,0,0,0,21,,"Slash Big (team)",0,,,,"Swing Flat Large",11,,"2pole","Slash",,"hold,power","Melee"
15,"Halberd",25,22,0,0,60,13,2,20,17,,5,0,0,0,27,,"Slash Big (team)",0,,,,,12,,"2pole","Slash",,"hold,chargeblock","Melee"
16,"Pike",35,18,0,0,35,13,2,30,13,,5,0,0,0,35,,"Pierce Big (team)",0,,,,,10,,"2pole","Pierce",,"hold,chargeblock","Melee"
17,"Glaive",40,17,0,0,30,13,2,25,17,24,4.5,0,0,0,26,,"Slash Big (team)",0,,,,,12,,"2pole","Slash",,"hold,power","Melee"
18,"Whip",50,7,0,0,5,9,1,1,3,,2.5,0,0,0,24,,"Slash Medium (team)",0,,,,,15,,"1hand","Slash",,,"Melee"
19,"Quarterstaff",70,8,0,0,35,15,5,5,6,,3,0,0,0,23,,"Crush Medium (team)",0,,,,,9,,"2pole","Smash",,"hold,power","Melee"
20,"Sling",70,10,0,0,30,18,0,0,5,,6,120,1,1,230,,"Stone",80,,,,,12,44,"1hand","Swing",,,"Long Range"
21,"Blowgun",35,8,0,0,10,6,0,0,3,,4,60,1,1,50,,"Dart",80,,,,,5,16,"1hand","Blow",,,"Short Range"
22,"Javelin",65,16,0,0,40,12,0,0,12,47,6,10,1,1,130,,"self",60,"spin",,,,10,28,"1pole","Throw",,"hold,timing_1_2","Short Range"
