"ID","Text ID","Text"
"Leader_bigta","hurt_1","Arf"
"Leader_bigta","bighurt_1","Meep"
"Leader_bigta","die_1","*Whine*"
"Leader_bigta","hit_1","*Honk* *Ruff*"
"Leader_bigta","hit_2","*HONK* *WOOF*"
"Leader_adaqua","hurt_1","You will pay for that!"
"Leader_adaqua","bighurt_1","Need help here!"
"Leader_adaqua","bighurt_2","I am an archer here not a fighter!"
"Leader_adaqua","die_1","Damn it all. I will not suffer fools again!"
"Leader_adaqua","hit_1","Regret facing me and rot in the Eighth Hell!"
"Leader_adaqua","hit_2","Hmph!"
"Leader_adaqua","hit_3","Dodge this, fool!"
"Leader_tulia","hurt_1","That does it."
"Leader_tulia","hurt_2","Ouch."
"Leader_tulia","hurt_3","You should stop doing that."
"Leader_tulia","bighurt_1","I should heal."
"Leader_tulia","bighurt_2","Assistance, please."
"Leader_tulia","bighurt_3","This is bad."
"Leader_tulia","die_1","Please carry on in my stead."
"Leader_tulia","hit_1","Well then."
"Leader_tulia","hit_2","This will do."
"Leader_vraesier","hurt_1","A scratch."
"Leader_vraesier","hurt_2","Pathetic."
"Leader_vraesier","bighurt_1","Agh."
"Leader_vraesier","bighurt_2","Not yet."
"Leader_vraesier","die_1","No. Not like this."
"Leader_vraesier","hit_1","Hmph."
"Leader_vraesier","hit_2","Die."
"Leader_orsanoas","hurt_1","AGAIN!"
"Leader_orsanoas","hurt_2","HARDER!"
"Leader_orsanoas","bighurt_1","NOT BAD!"
"Leader_orsanoas","bighurt_2","BETTER!"
"Leader_orsanoas","die_1","WORTHY!"
"Leader_orsanoas","die_2","PROVEN!"
"Leader_orsanoas","hit_1","MIGHT!"
"Leader_orsanoas","hit_2","STRENGTH!"
"Leader_orsanoas","hit_3","POWER!"
"Leader_orsanoas","hit_4","STRIKE!"
"Leader_orsanoas","hit_5","LOVE!"
"Leader_orsanoas","hit_6","UNITE!"
"Leader_rodhinbar","hurt_1","That will not fell me."
"Leader_rodhinbar","hurt_2","You are no match to me."
"Leader_rodhinbar","bighurt_1","Praiseworthy, but I will do better."
"Leader_rodhinbar","bighurt_2","I will still prevail."
"Leader_rodhinbar","die_1","The fallen wind will rise up again."
"Leader_rodhinbar","hit_1","You will not escape."
"Leader_rodhinbar","hit_2","Seek through my enemy's heart!"
"Leader_rodhinbar","hit_3","Unto you, all of mine."
"Leader_rodhinbar","hit_4","Witness the flowing of change!"
"Leader_duskuksa","hurt_1","Look at these muscles!"
"Leader_duskuksa","hurt_2","Give up on these futile attempts."
"Leader_duskuksa","bighurt_1","Hey, you will make me sore later!"
"Leader_duskuksa","die_1","My dream…"
"Leader_duskuksa","hit_1","Ha haa!"
"Leader_duskuksa","hit_2","I will not falter!"
"Leader_duskuksa","hit_3","Yield the path to me!"
"Leader_iri","bighurt_1","Owee."
"Leader_iri","bighurt_2","Not bad at all."
"Leader_iri","bighurt_3","I will not stand for this, you hear?!"
"Leader_iri","die_1","Better luck next time."
"Leader_iri","hit_1","Whew!"
"Leader_iri","hit_2","Wow!"
"Leader_iri","hit_3","Taste this."
"Nayedien","die_1","It seemth there is much to learn yet."
"Leader_nraesier","hurt_1",
"Leader_nraesier","hurt_2",
"Leader_nraesier","bighurt_1",
"Leader_nraesier","die_1","Not too shabby…."
"Leader_nraesier","die_2","What a day this is…"
"Leader_nraesier","hit_1","This will hurt!"
"Leader_nraesier","hit_2",
"Leader_nraesier","hit_3",
"Leader_nraesier","hit_4",
"Leader_nraesier","hit_5",
