"ID","Name","Description"
"castle_arty_1_siege_factory","Siege Workshop",
"castle_barrack_a1_barrack","Barrack","A barrack to provide formal and standard martial drilling. Even dog soldiers can become better than human militia with the right training regimen."
"castle_barrack_b1_war_stable","War Stable","A good warhorse requires intensive care and the finest feeding. Unlike farm horses, these war horses are exceptionally sturdy and not so easy to spook. Every good knight requires a good warhorse."
"castle_faith_1_temple","Temple","A place of worship. What is true happiness but to be in service to the divine?"
"castle_faith_2_cathedral","Cathedral",
"castle_food_a1_farm","Grain Field","Grain. One may say it is the first essential component to grow a society. So start a grain field and solve the necessity of sustenance."
"castle_food_a2_farm","Grain Farm",
"castle_food_a3_farm","Irrigated Grain Farm",
"castle_food_a4_farm","Farm Estate",
"castle_food_b1_granary","Granary","A granary is crucial for efficient grain-based food production operations. The stored grains can be used for long-term ration planning and commerce. Additionally, since grains last much longer with proper storage, more thorough research can be achieved to improve livestock feeding."
"castle_food_c1_ranch","Ranch",
"castle_food_c2_barn","Barn",
"castle_fun_a1_tavern","Tavern","A place that can provide the best legal entertainment. Alcohol, bed, community, music, and performance, this place has them all."
"castle_fun_c1_court","Court",
"castle_fun_d1_hall","Hall",
"castle_money_a1_market","Market","An aggregation of commerce where capital from all over the realm are gathered and transacted by established and travelling merchants. There is simply no better method to efficiently generate money than in the market."
"castle_money_a2_great_market","Great Market",
"castle_money_b1_windmill","Windmill",
"castle_money_c1_slum","Slum","A slum is a gathering of society's undesirables. A place outside of the reach of the law, and no less savage than the natural world. Despite its prevalent ill effects on civilisation, the underworld can be a useful place for morally questionable transactions away from the eyes of God."
"castle_money_c2_brothel","Brothel","An establishment for housing the most important profession in the world. Brothels are indeed officially illegal and condemned. By placing them in the slum with a legal front business, they can bring the debauchery of forbidden ecstasy for those with the means to obtain it."
"castle_settlement_1_motte","Motte-and-bailey ","A motte-and-bailey castle is a small fortification for protecting a small settlement. The defensive and self-sustained design allows it to be a living space for the regional lord. Monsters and raiders will have difficulty taking down these bastions of civilisation."
"castle_settlement_2_keep","Stronghold","A stronghold is a sizable walled settlement that can house a small army for a long period of time. Even an army will require an effort to penetrate its defence. They also serve as a place of power and ruling in peacetime."
"castle_settlement_3_castle","Castle","A castle is the very centre of a region. Civilisations require an epicentre to maintain a semblance of society, and there is no better place than where no external hostilities can reach. A small settlement typically emerges around the castle, and together they become the walled city."
"castle_settlement_4_fortress","Citadel",
"castle_settlement_5_flower_castle","Flower Castle",
"castle_tech_a1_barber","Barber","Barbers are trained in the art of cutting; they know how to cut hair and body parts somewhat safely. So barbers also provide medical services to the community."
"castle_tech_b1_forestry","Forestry","Civilisation cannot exist without nature. A balance is required to be maintained between order and chaos. So forestry assumes the role in that management."
"castle_tech_c1_library","Court Library","martial department funding is 10-to-1 to that of magical one."
"castle_tech_d1_masonry","Masonry",
"common_conservatory","Conservatory","The beauty of the sea should be preserved for future generations. Reaping the benefit without care will only result in destruction, this conservatory will attempt to protect the area from unauthorised sea poaching and harvesting."
"common_dam","Dam",
"common_fishery","Fishery",
"common_gem_mine","Gem Mine",
"common_gem_preserve","Gem Preserve",
"common_gold_mine","Gold Mine",
"common_gold_preserve","Gold Preserve",
"common_great_dam","Great Dam",
"common_harbour","Harbour",
"common_iron_mine","Iron Mine",
"common_iron_preservary","Iron Preserve",
"common_watermill","Watermill",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"doll_air_1_balloon_maker","Balloon Maker",
"doll_arty_1_launch_zone","Launch Zone",
"doll_barrack_a1_workshop","Workshop",
"doll_barrack_a2_manufacture","Manufacture",
"doll_barrack_b1_castle","Toy Castle",
"doll_barrack_c1_crafting_hut","Crafting Hut",
"doll_barrack_d1_toy_maker","Toy Maker",
"doll_barrack_d2_factory","Factory",
"doll_barrack_e1_witch_tree","Witch Tree",
"doll_food_1_lumber","Lumber","Lumbers are fundamental materials for most types of dolls and their settlements. So a lumber mill like this must be built."
"doll_food_2_sawmill","Sawmill",
"doll_food_3_automated_sawmill","Automated Sawmill",
"doll_fun_a1_theatre","Theatre",
"doll_fun_a2_circus","Circus",
"doll_settlement_1_house_comfy","Comfy Doll House","A very comfy doll house. Modest and warm, this house provides a good memory."
"doll_settlement_2_house_rich","Rich Doll House",
