"ID","Name","Description","Tag"
1,"Rendos Suclin",,"Empire"
2,"Masendor",,"Vassal Kingdom"
3,"Samsiamanu",,"Vassal Kingdom"
4,"Donimalin",,"Vassal Kingdom"
5,"Safienty",,"Vassal Kingdom"
6,"Avilelus",,"Vassal Kingdom"
7,"Aardarn",,"Kingdom"
8,"Lesses",,"City State"
9,"Hlilita",,"Tribal Alliance"
10,"Lulislc",,"Tribe"
11,"Lafinm",,"Tribe"
12,"Ralsarn",,"Kingdom"
13,"Limin",,"Kingdom"
14,"Yalaninl",,"Tribe"
15,"Nariele",,"Tribal Alliance"
16,"Lafarilna",,"Kingdom"
17,"Valle",,"Theocracy State"
18,"Sontriel",,"Empire"
19,"Kakadull",,"Tribe"
20,"Amuud",,"Tribal Alliance"
21,"Kellitel",,"Kingdom"
22,"Felkulos",,"Kingdom"
23,"Shervarn",,"Kingdom"
24,"Moodooga",,"Tribe"
25,"Majala",,"Empire"
26,"Dukun",,"Empire"
27,"Hoom",,"Kingdom"
28,"Garbarra",,"City State"
29,"Sukutar",,"Kingdom"
30,"Debachan",,"Kingdom"
31,"Oimita",,"Empire"
32,"Ladaji",,"Wizard Council"
33,"Volud Mala",,"Kingdom"
34,"Muhinsa",,"Kingdom"
35,"Nan",,"Empire"
36,"Whe",,"Vassal Kingdom"
37,"Lhu",,"Vassal Theocracy State"
38,"Lil",,"Vassal Kingdom"
39,"Kakadull",,"Tribe"
40,"Doomud",,"Tribe"
