"ID","Name","Description",,,
"Strength","Strength","Strength represents the character’s physical power. It affect maximum damage the character can deal with physical attacks and item carry capacity.",,,
"Dexterity","Dexterity","Dexterity represents the accurateness of the character. It affect minimum damage of the character's physical attacks, critical chance, and spell cast speed.",,,
"Agility","Agility","Agility represents the overall speed of the character. It affects all animations' speed and dodge chance.",,,
"Constitution","Constitution","Constitution represents the endurance and toughness of the character. It affects the character's maximum health, block power, and impact resistance. ",,,
"Intelligence","Intelligence","Intelligence represents the character's capacity to learn and understand more complex concepts. It affects the maximum non-physical damage, spell cast speed, and maximum resource.",,,
"Wisdom","Wisdom","Wisdom represents the character's ability to apply their learned knowledge and ability to make wise decisions. It affects the minimum non-physical damage and every other character's status.",,,
"Charisma","Charisma","Charisma represents the character's ability to attract, influence, and lead others. It increases the maximum follower funds and improves followers' abilities.",,,
"Ground Movement.0","Ground Movement","Let the hero move around the battle and perform feats of acrobatics.",,,
"Ground Movement.1","Ground Movement","A basic training in movement skill allow the hero to perform Slide attack while running on the ground with high knockdown capability. Press the weak attack button while running.",,,
"Ground Movement.2","Ground Movement","Further training in movement technique allow the hero to perform Tackle attack while running on the ground with high knockback capability. Press the strong attack button while running.",,,
"Ground Movement.3","Ground Movement","With great training, the hero can dash through enemies and avoid all damage while attacking or running. Can also be used while attacking by pressing the left or right button twice or the guard button while running.",,,
"Ground Movement.4","Ground Movement","With utmost intensive training, equipments’ weight no longer affect the hero’s ability to move around.",,,
"Ground Movement.5","Ground Movement","A perfect skill in ground movement allow the hero to completely dodge incoming attack while running.",,,
"Air Movement.0","Air Movement","Let the hero contest and dominate the aerial zone.",,,
"Air Movement.1","Air Movement","Training in air movement allow the hero to jump again midair.",,,
"Air Movement.2","Air Movement","Becoming closer to the lord of the sky. The hero can dash through the air.",,,
"Air Movement.3","Air Movement","Gaining skills in shifting weight to allow better movement. The hero can now jump with no negative effect from weight.",,,
"Air Movement.4","Air Movement","The hero is trained to counter the weakness of being on the air. They are much more resistant to being knockdown while in midair.",,,
"Air Movement.5","Air Movement","With a bit of help from magic and balance training, the hero can now hover in the air to reduce falling speed while also able to move around.",,,
"Tinkerer.0","Tinkerer","Let the hero be proficient in item usage.",,,
"Tinkerer.1","Tinkerer","A good tinkerer knows how to adjust. Not all items used end up with no remaining. The hero has a chance to be able to use the same item multiple times.",,,
"Tinkerer.2","Tinkerer","Knowing how to use and conserve items allows the hero to use each item again one time per battle.",,,
"Tinkerer.3","Tinkerer","A mastery of consumption and utility. The hero can use items much more productively with a double effect.",,,
"Tinkerer.4","Tinkerer","Proficiency in tinkering is applicable not only to tools but also to cuisine. The hero gains expertise in cooking so much that they can adjust other people's food to their liking making feast twice as effective.",,,
"Tinkerer.5","Tinkerer",,,,
"Arm Mastery.0","Arm Mastery","Let the hero be proficient in pick-up weapons.",,,
"Arm Mastery.1","Arm Mastery","Adapted to use any weapon found in battle, the hero can unleash a combo of attacks with pick-up weapons.",,,
"Arm Mastery.2","Arm Mastery","Pick-up weapons tend to be fragile due to lack of care or simply have limited use. A more careful handling allows the hero to utilise them much longer.",,,
"Arm Mastery.3","Arm Mastery",,,,
"Arm Mastery.4","Arm Mastery",,,,
"Arm Mastery.5","Arm Mastery",,,,
"Wealth.0","Wealth","Let the hero get rich quicker and use coins in other ways.",,,
"Wealth.1","Wealth","Becoming wiser with money, the gold that the hero collects now also increases the mission score.",,,
"Wealth.2","Wealth","Using wealth to improve their ""skill"", the gold that the hero collects now also increases their resource.",,,
"Wealth.3","Wealth","Blood money is still money. The hero killing enemies has more chance to drop gold-related items.",,,
"Wealth.4","Wealth",,,,
"Wealth.5","Wealth",,,,
"Immunity.0","Immunity","Let the hero be more resilient in battle.",,,
"Immunity.1","Immunity","A great body can recover from tumbling much easier than a fragile one. The hero can instantly recover from knockback at any time by pressing the guard button.",,,
"Immunity.2","Immunity","Persistent to achieve victory, the hero gains two additional chances to resurrect for free in battle.",,,
"Immunity.3","Immunity","The body of an unsusceptible constitution allows the hero to withstand all kinds of weather.",,,
"Immunity.4","Immunity",,,,
"Immunity.5","Immunity",,,,
"Resourceful.0","Resourceful","Let the hero gains more resources in various ways.",,,
