"ID","Name","Description"
"Small Healing Kit","Small Healing Kit","A small healing kit that is enough to heal small wounds for everyone in the team."
"Medium Healing Kit","Medium Healing Kit","A medium healing kit essential for dangerous journey. Capable of fixing moderate wounds for all nearby allies."
"Large Healing Kit","Large Healing Kit","A large healing kit capable of fixing serious wounds. A mandatory tool for war surgeons."
"Great Healing Kit","Great Healing Kit","A great healing kit all patients will be happy to see. The kit is filled with all kind of medical tools and medicines."
"Master Healing Kit","Master Healing Kit",
"Health Potion","Health Potion",
"Large Health Potion","Large Health Potion",
"Massive Health Potion","Massive Health Potion",
"Reviving Seed","Reviving Seed",
"Cure Potion","Cure Potion",
"Speed Potion","Speed Potion",
"Stone Potion","Stone Potion",
"Resource Potion","Resource Potion",
"Elixir","Elixir",
"Super Elixir","Super Elixir",
"Resource Kit","Small Resource Kit",
"Small Explosive","Small Explosive",
"Medium Explosive","Medium Explosive",
"Large Explosive","Large Explosive",
"Mega Explosive","Mega Explosive",
"Oily Burst Explosive","Oily Burst Explosive",
"Shrapnel Explosive","Shrapnel Explosive",
"Poison Explosive","Poison Explosive",
"Razor Explosive","Razor Explosive",
"Weather Idol","Weather Idol","This weather idol is cursed with a witch's magic. Capable of invoking weather-changing effects that are impossible to predict."
"Sun Idol","Sun Idol","Idol of the Sun filled with magic to blow the bad weather away. Changing the weather to a clear day."
"Snow Idol","Snow Idol",
"Fog Idol","Fog Idol",
"Rain Idol","Rain Idol",
"Cloud Idol","Cloud Idol",
"Wind Idol","Wind Idol",
"Storm Idol","Storm Idol",
"Hail Idol","Hail Idol",
"Wet Idol","Wet Idol",
"Decay Idol","Decay Idol",
"Sand Idol","Sand Idol",
"Blood Idol","Blood Idol",
"Chaos Winter Idol","Chaos Winter Idol",
"Blood Winter Idol","Blood Winter Idol",
"Dark Winter Idol","Dark Winter Idol",
"Monster Caller","Monster Caller","Call a bunch of random creatures. They will attack everyone in sight except among themselves."
"Stampede Caller","Stampede Caller",
"Invasion Caller","Invasion Caller","Let loose the the locust of war. There is no order in a battle. Calling huge numbers of random creatures from somewhere to fight against everyone."
"Devil Charm","Devil Charm",
"Fireball Scroll","Fireball Scroll",
"Lightning Bolt Score","Lightning Bolt Score",
"Ice Shards Scroll","Ice Shards Scroll",
"Magic Missiles Scroll","Magic Missiles Scroll",
"Blizzard Scroll","Blizzard Scroll",
"Meteor Scroll","Meteor Scroll",
"Thunder Storm Scroll","Thunder Storm Scroll",
"Magic Barrages Scroll","Magic Barrages Scroll",
"Magic Chaos Scroll","Magic Chaos Scroll",
"Power Rune","Power Rune",
"Defence Rune","Defence Rune",
"Speed Rune","Speed Rune",
"Might Rune","Might Rune",
"Guardian Rune","Guardian Rune",
"Haste Rune","Haste Rune",
