"ID","Name","Description"
"test","Test",
"test2","Test 2",
"blacksmith","Blacksmith",
"squire","Squire",
"mage_fire","Fire Mage",
"mage_water","Water Mage",
"mage_air","Air Mage",
"mage_earth","Earth Mage",
"mage_magic","Mage",
"mage_poison","Poison Mage",
"wizard_fire","Fire Wizard",
"wizard_water","Water Wizard",
"wizard_air","Air Wizard",
"wizard_earth","Earth Wizard",
"wizard_poison","Poison Wizard",
"wizard_magic","Magic Wizard",
"priest","Priest",
"cleric","Cleric",
"clown","Clown",
"musician","Musician",
"chef","Chef",
"engineer","Engineer",
"entertainer","Entertainer",
"medic","Medic",
"shaman_sun","Sun Shaman",
"shaman_rain","Rain Shaman",
"shaman_cloud","Cloud Shaman",
"shaman_snow","Snow Shaman",
"shaman_storm","Storm Shaman",
"shaman_fog","Fog Shaman",
"transporter","Transporter",
"administrator","Administrator",
"scout","Scout",
"alchemist","Alchemist",
"quartermaster","Quartermaster",
"surgeon","Surgeon",
"druid_fire","Fire Druid",
"druid_water","Water Druid",
"druid_air","Air Druid",
"druid_earth","Earth Druid",
"druid_magic","Druid",
"druid_poison","Poison Druid",
"strategist","Strategist",
"spy","Spy",
"champion","Champion",
"captain","Captain",
"bishop","Bishop",
