"ID","Text"
1,"Artificer guild undertakes in the alteration of god's given gifts. The very act itself is not forbidden if conducted in moderation and compliance with the law of the land. The heroes can purchase magical accessories and alter their equipment's property here, with a suitable amount of payment."
1,"The Royal Barrack in the Dawn Citadel. The Royal Army rest and train here. Due to the potential threat, a contingent of Flower Guard is always on standby here. This citadel is one of the first in the empire designed to defend against sieges from both land and sky."
1,"The royalty's commissioned blacksmith shop, Golden Forge. A place of great importance for the Masendor Kingdom for centuries since the Fifth King, Tules the Younger. The forge has been worked by a continuous long line of the legendary Smith family to the latest. The heroes can craft their equipment here for a discounted price."
1,"The Capital's centre plaza has accommodated all manners of activity since the founding of the kingdom. Amphitheatre, market fair, ceremonial parade, and public announcement are some of such purposes. Travellers from distant lands also tend to gather here from time to time."
1,"The Cathedral of Saint Maaeir, named after the Canonical Third Great Saint Maaeir the Fortunas, represents the symbol of True Faith in the furthest west domain of influence established by the first Saint Mother. The heroes can receive a blessing from the saint here to boost their luck in the battle to come."
1,"The royal council chamber. A place where the kingdom's brightest minds gather to better the lives of all followers of the crown. A principal council is generally convened once a month in peacetime, while a lessor is held every day, usually among the high members of the court."
1,"The famed Black Garden of Lasennis, second only to the Dawn Garden in the empire capital, Reskon. The Black Garden is full of the Masendor or Black Masen flowers, a rare hybrid found only in the Fimella region. Legend said that the flowers were dyed black by the blood of the great dragon, Lamorkul, that fell from the sky during the Battle of Arkian Sky."
1,"The famed Black Castle. Home of dynasties of kings and queens for four centuries. Newly renovated after its partial destruction thirty years ago by the great dragon Xelanos's attack. People of high birth typically stalk this hall, exchanging court gossip and politic."
1,"The smith of organic matter is a profession of high standing. Here is one of the few workshops in the capital. The hero can purchase beneficial potions for use in battle. A victory is most ensured for those who prepare."
1,"All civilisations, like people, grow from knowledge. To know is to ascend. Here, the heroes can learn and understand the inner workings of this world."
1,"The open market of Larsennis. Merchants, local and foreign, inhabit this most populous part of the capital. The heroes can purchase consumable goods and items for use in combat. Some items can even alter the battle entirely."
1,"The Scriptorium of Celan Abbey. Many manuscripts were previously commissioned to be created here by the old Kings and nobles, but the Book of Royal Ordains is no doubt the greatest work of all. Labour of devotion for this book was conducted here in full for all days and nights, as illustrated on this very page."
1,"Old Fakus, the most favoured tavern in the capital. Created by Fakus the Elder. At this time, owned by his great-grandson. Here, the heroes can accept favour quests, listen to low-value lowborn gossip, and order food and drink to improve power in the next mission."
1,"The great throne room of the Black Castle, the heart of the Masendor Kingdom. The room was sojourned by many great names, Saint Mother Caemilr the Fifth, Emperor Kihudi of Oimita, High Lord Melkirodieus of Sontriel, Rune Lord Bikillan, and many more. The heroes can start the new mission by talking with the Lord Commander here."
1,"The light in oneself can only be discovered with one own heart."
1,"Martial is a form of art. To be the true master is to train and improve until you achieve beyond the pinnacle of all in existence and reach the realm of gods. Through arts, one can connect with higher existences and gain a comprehension of the lower world."
"Rabbit_forest1.1","The Pamat Forest, a home to an abundant variety of bushes, beasts, and wrongdoers. Here lie the outskirts, where hunters and foragers can harvest the fruits of nature and prosper from the bestowal of heaven. That is, if they are able to survive the wrath of Rabbitmen."
"Rabbit_forest1.2","Rabbitmen are among the most common beastmen inhabit throughout the world. Similar to many other less civilised races, they are capable of learning, simple communication, heresy and warfare."
"Rabbit_forest1.3","Rabbitmen typically live in tribal communes. They are cowards and will fight only when they have great advantages or are in grave danger. They are crude, rude, and exclude of any civilised decorum."
"Rabbit_forest1.4","In the Pamat Forest alone, the number of Rabbitmen accounts for thousands due to their rapid breeding, similar to their bunny cousins. 
They make up one big tribe after a series of conquests left unchecked for a decennium."
"Rabbit_forest2.1","Within the Pamat Forest reside brutes and beasts of many natures. The rabbitmen, with their allies, vicious snails, and keen-sight eagles, made up the dominant force in the region. This Alliance demonstrates abundantly clear that even the Vertkins do not take well to the incursion of civilised people."
"Rabbit_forest2.2","The alliance is formed to wrestle control of the forest. As the forest is between the conflicting border of the Elven Realm Lulislc and the Kingdom of Masendor, it is the perfect place for the Alliance to grow unhindered."
