"Character ID","ID","Name","Description"
"Common","Ground Movement.1","Ground Movement","A basic training in movement skill allow the hero to perform Slide attack while running on the ground with high knockdown capability."
"Common","Ground Movement.2","Ground Movement","Further training in movement technique allow the hero to perform Tackle attack while running on the ground with high knockback capability."
"Common","Ground Movement.3","Ground Movement",
"Common","Ground Movement.4","Ground Movement","With utmost intensive training, equipments’ weight no longer affect the hero’s ability to move around."
"Common","Ground Movement.5","Ground Movement","A perfect skill in ground movement allow the hero to completely dodge incoming attack while running."
"Common","Air Movement.1","Air Movement","Training in air movement allow the hero to jump again midair."
"Common","Air Movement.2","Air Movement",
"Common","Air Movement.3","Air Movement",
"Common","Air Movement.4","Air Movement","The hero is trained to counter the weakness of being on the air, they are much more resistant to be knockdown."
"Common","Air Movement.5","Air Movement","With a bit of help from magic and training, the hero can now hover in the air to reduce falling speed while also able to move around."
"Common","Tinkerer.1","Tinkerer",
"Common","Tinkerer.2","Tinkerer",
"Common","Tinkerer.3","Tinkerer",
"Common","Tinkerer.4","Tinkerer",
"Common","Tinkerer.5","Tinkerer",
"Common","Arm Mastery.1","Arm Mastery",
"Common","Arm Mastery.2","Arm Mastery",
"Common","Arm Mastery.3","Arm Mastery",
"Common","Arm Mastery.4","Arm Mastery",
"Common","Arm Mastery.5","Arm Mastery",
"Common","Wealth.1","Wealth",
"Common","Wealth.2","Wealth",
"Common","Wealth.3","Wealth",
"Common","Wealth.4","Wealth",
"Common","Wealth.5","Wealth",
"Common","Immunity.1","Immunity",
"Common","Immunity.2","Immunity",
"Common","Immunity.3","Immunity",
"Common","Immunity.4","Immunity",
"Common","Immunity.5","Immunity",
"Common","Resourceful.1","Resourceful",
"Common","Resourceful.2","Resourceful",
"Common","Resourceful.3","Resourceful",
"Common","Resourceful.4","Resourceful",
"Common","Resourceful.5","Resourceful",
"Common","Combat Contest.1","Combat Contest",
"Common","Combat Contest.2","Combat Contest",
"Common","Combat Contest.3","Combat Contest",
"Common","Combat Contest.4","Combat Contest",
"Common","Combat Contest.5","Combat Contest",
"Vraesier","C1.1","Double Piercing","A set of quick double stabs with a higher minor chance of a critical hit. A feat performed only by skilled swordsmen."
"Vraesier","C1.2","Triple Piercing","Swift triple stabs with a higher moderate chance of a critical hit. The speed becomes much more difficult to see by untrained eyes."
"Vraesier","C1.3","Quadruple Piercing","Quadruple stabs of unmatched speed with a higher moderate chance of a critical hit. Only those of inhuman eyes can see through this movement."
"Vraesier","C1.4","Speed Piercing","Surpassing the speed of master swordsmen, uncountable stabs within a few seconds with a higher chance of a critical hit. The hero also seems to become faster afterwards for a short time."
"Vraesier","C1.5","Unseen Piercing","Into the realm of invisibility, it is impossible to illustrate each stab of this relentless attacks. The hero becomes seemingly immune to all damage during this move. "
"Vraesier","C2.1","Counter Attack","A skilful parry and counterattack against incompetent attack from enemies by comparison. Quite a risky move with a high reward."
"Vraesier","C2.2","Counter Cross Slash",
"Vraesier","C2.3",,"A brutal counterattack against those foolish enough to attack. The close distance also lets the hero draw a significant amount of blood from the victims. Almost vampiric in nature."
"Vraesier","C2.4","Revenge Guard",
"Vraesier","C2.5","Sword of Vengeance",
"Vraesier","C3.1","Vital Slash","A small slash to a vital body part is enough to draw a pool of blood on the ground. Inflict bleeding and have a higher moderate critical hit chance."
"Vraesier","C3.2","Bloodletting",
"Vraesier","C3.3","Slow Killing",
"Vraesier","C3.4","Bloodbath",
"Vraesier","C3.5","Fountain of Blood",
