"ID","Name","Description","Ally","Enemy","Tag"
"garrison_summon_death_undead_tower","Summon Disease Tower",,"Build a disease tower!","Enemy builds an undead tower!",
"garrison_summon_great_elf_heal_tent","Summon Healing Tent",,"Build a healing tent!","Enemy builds a healing tent!",
"garrison_summon_great_elf_tower","Summon Great Tower",,"Build a great tower!","Enemy builds a great tower!",
"garrison_summon_human_castle","Summon Castle","Summon a castle with a crossbowman.","Build a castle!","Enemy builds a castle!",
"garrison_summon_human_flower_castle","Summon Flower Castle","Summon a castle with a trumpeter and two crossbowmen.","Build a flower castle!","Enemy builds a flower castle!",
"garrison_summon_marsh_goblin_pyramid","Summon Pyramid of War",,"Build a pyramid!","Enemy builds a pyramid!",
"garrison_summon_mountain_dwarf_fortress","Summon Dwarf Fortress",,"Build a fortress!","Enemy builds a fortress!",
"garrison_summon_port_halfling_tower","Summon Cannon Tower",,"Build a cannon tower!","Enemy builds a cannon tower!",
"garrison_summon_rabbit_tower","Summon Rabbit Rower","Summon a tower with a stone-throwing rabbitman.","Build a rabbit tower!","Enemy builds a rabbit tower!",
"spell_air_domain","Air Domain","Establish an air element domain. Enemies in a large area will be more susceptible to air damage.","The air domain is mine. You will be struck down without fail!","Enemy establishes a domain of air!",
"spell_airburst","Airburst","Create an airburst that inflicts air damage to air enemies in a medium area.","The sky belongs not to you!","Enemy creates an airburst against our air troops! ",
"spell_airburst_huge","Huge Airburst",,,,
"spell_blizzard","Blizzard","Summon an enormous blizzard that covers a large area. It will inflict continuous water damage to enemies and apply a freeze status.",,"A blizzard! Take cover!",
"spell_cold_air","Cold Air","Unleash a cold air that deals minor continuous water damage and apply cold status to enemies.","Chill air and brittle bones! Come the wind of Winter Spirit!","Enemy conjures cold air!",
"spell_death_cloud","Death Cloud","Release a death cloud that deals continuous poison damage and applies deadly poison status to enemies.","Death lingers in the air. Can you feel it?","Enemy unleashes a death cloud!",
"spell_decay","Decay",,"The inevitable awaits you. Falling back into the earth.","Enemy spreads decay!",
"spell_earth_domain","Earth Domain","Establish an air element domain. Enemies in a large area will be more susceptible to earth damage.","We embrace the love of our roots, and we are its inheritors!","Enemy establishes a domain of earth!",
"spell_earth_eruption","Earth Eruption","Create an earth eruption spike that deals earth damage and high impact in a medium area.","The great earth is but the opposite of the vast sky. Converge then diverge.","Enemy erupts the ground!",
"spell_earth_wall","Earth Wall","Summon an earthen wall that can block incoming enemies' attacks and spells.","The very earth opposes your incursion!","Enemy erects an earthen wall!",
"spell_earthquake","Earthquake","Create an earthquake that significantly decreases defence and speed to all creatures on the ground.","Feel the rage of Mother Earth!","An earthquake! Steady yourselves!",
"spell_fire_barrage","Fire Barrage","Conjure a barrage of fire bolts. Cover a large area but lack penetration.","Receive the righteous inferno from hell!","Enemy calls down fire barrage!",
"spell_fire_domain","Fire Domain","Establish an air element domain. Enemies in a large area will be more susceptible to fire damage.","This is now the domain of fire. You will burn and perish to cinder.","Enemy establishes a domain of fire!",
"spell_firewall","Firewall","Conjure a long firewall at the selected area. Deal continuous fire damage to passing enemies.","Approach and burn, fools! I dare you to cross over!","Enemy convokes a wall of flame!",
"spell_flash","Flash","Create a flash of light that blinds enemies in a medium area.","Be blind and begone!","Enemy casts a flash!",
"spell_great_fireball","Great Fireball","Conjure a large fireball. Explode when in contact with an enemy and deal additional damage to enemies in a large area.","Great Fireball, burn away!","Enemy casts a great fireball!",
"spell_huge_stone","Drop Huge Stone","Summon a huge stone to crush from the sky to crush enemies. Can hit only ground unit.","Bring forth the strength of stone.","Enemy calls a large stone descends from the sky!",
"spell_hurricane","Hurricane","Summon a hurricane at the selected air area. Deal continuous damage to passing air enemies.","Only fools dare to fly through a hurricane. Let us watch them die.","Enemy summons a hurricane!",
"spell_ice_orb","Ice Orb","Cast down an ice orb at enemies in a medium area. Will inflict cold and stun status.","Cold and destruction!","Enemy drops an ice orb!",
"spell_ice_pillar","Ice Pillar","Conjure an ice pillar that deals high upward impact. Also inflict cold and stagger status on affected enemies.","Glacier rises and protects us!","Enemy raises an ice pillar!",
"spell_invisible","Invisible","Grant allies in a medium area with invisible status.","There is no opposition against those who cannot be perceived. Kill them all.","Enemies becomes invisible!",
"spell_lightning_strike","Lightning Strike","Conjure a lightning strike. Deal high air damage and paralyse enemies in a small area.","Wrath of heaven is now in my hand!","Enemy calls down a lightning!",
"spell_magic_bolts","Magic Bolts","Unleash a hail of magic bolts on enemies in medium area.",,"Enemy unleashes magic bolts!",
"spell_magic_bomb","Magic Bomb","Drop a magic bomb that explodes and deals magic damage in a medium area.","Interface with discordance. Contain with control, and then unleash destruction.","Enemy deploys a magic bomb!",
"spell_magic_domain","Magic Domain","Establish a magic element domain. Enemies in a large area will be more susceptible to magic damage.","You step into the domain of mages. No physical might will save you from this decimation.","Enemy establishes a domain of magic!",
"spell_mass_blind","Mass Blind","Inflict blind on enemies in a medium area.","Your sight is mine to take.","Enemy casts mass blind!",
"spell_mass_confuse","Mass Confuse","Inflict confusion on enemies in a medium area.","Boggle the mind, and the body will halt.","Enemy invokes mass confuse!",
"spell_mass_curse","Mass Curse","Cast a curse  spell to enemies in a large area.","Curse be upon you.","Enemy casts mass curse!",
"spell_mass_haste","Mass Haste","Cast a haste spell to allies in a large area.","Speed is half the victory.","Enemy invokes mass haste!",
"spell_mass_slow","Mass Slow","Cast a slow spell to enemies in a large area.","Rid of speed, their approach will be obvious and exploitable.","Enemy inflicts mass slow!",
"spell_mass_strength","Mass Strength","Cast a strengthen spell to allies in a large area.","Weakness is not a sin, nor is it permanent. A temporary strength works all the same.","Enemy imposes mass strength!",
"spell_mass_weakness","Mass Weakness","Cast a weakness spell to enemies in a large area.","If the enemies are too strong, weaken them.","Enemy inflicts mass weakness!",
"spell_meteor","Meteor","Conjure a meteor. Deal extremely high fire damage to enemies in a very large area.","No enemy will persist against the will of heaven.","A meteor is coming! Run for your life!",
"spell_nature_revenge","Nature Revenge",,,,
"spell_oil_ball","Oil Ball","Drop an oil ball on enemies in a medium area. Inflict earth damage and oiled status.","Oiled and ready for flame.","Enemy drops an oil ball!",
"spell_poison_ball","Poison Ball","Cast a poison ball that will explode into a splash of poison in a small area after contact.","They will die slowly and surely.","Enemy deploys a poison ball!",
"spell_poison_beam","Poison Beam","Cast a poison beam that will inflict any enemy in a small area with paralysis and poison.","Fast delivery of deadly poison!","Enemy casts a poison beam!",
"spell_poison_domain","Poison Domain","Establish an air element domain. Enemies in a large area will be more susceptible to poison damage.","This is my domain of poison. All who intrude will die a slow death.","Enemy establishes a domain of poison!",
"spell_skeleton_horde","Skeleton Horde","Summon a horde of skeletons that can throw bones at enemies.","Rise, people of old! Rise and take back your place!","Enemy gathers a skeleton horde!",
"spell_smoke","Smoke","Summon a smoke cloud that obscures everyone inside it.","Block all sights, chaos is an opportunity like any other.","Enemy creates a smoke!",
"spell_stone_rain","Stone Rain","Call down a hail of stone that will fall into a large area. Can hit only ground unit.","Bring forth the abundance of stone.","Enemy summons a hail of stone!",
"spell_taladamun_mirror","Taladamun's mirror","Create a mirror of yourself that has slightly inferior capability.","The more of me, the more fun we will have!","Enemy summons a mirage copy of himself!",
"spell_water_domain","Water Domain","Establish an air element domain. Enemies in a large area will be more susceptible to water damage.","The domain of water and cold is in my control. No warmth will be left within your corpse.","Enemy establishes a domain of water!",
"spell_zombie_horde","Zombie Horde","Summon a horde of zombies that are slow and tough.","Come! Your home still awaits your return!","Enemy beckons a zombie horde from the ground!",
"strategy_abandon_all_hope","Abandon All Hope","Let Enemies understand there is no hope for victory. They will run away in panic.","Abandon any semblance of hope, there is no victory to be had in your futile struggle.","Abandon all hope! We cannot not win this battle!",
"strategy_absolute_command","Absolute Command","Assert absolute authority. Remove false commands in a large area.","Obey my authority and rid all doubts.","Enemy establishes absolute command! Any false commands are likely removed.",
"strategy_absolute_might","Absolute Might","Only by true might can a commander lead a strong army.","Yield to me or die!","Enemy demonstrates absolute might! Be careful, Enemy commander is now mighty.",
