"ID","Text ID","Object","Animation","Type","Trigger","Property"
"Lisha/Minara/1_1_city_artificer_talk1","Lisha/Minara/1_1_city_artificer_talk1.1",1,"Talk","char","interact,1","interact,hold"
"Lisha/Any/1_1_city_artificer_talk1","Lisha/Any/1_1_city_artificer_talk1.1",1,"Talk","char","interact,1","interact,hold"
,"Lisha/Any/1_1_city_artificer_talk1.2",1,,,,"interact"
,"Lisha/Any/1_1_city_artificer_talk1.3",1,,,,"interact"
,"Lisha/Any/1_1_city_artificer_talk1.4",1,,,,"interact"
,"Lisha/Any/1_1_city_artificer_talk1.5",1,"Bow",,,"interact,hold"
"Lisha/Any/1_1_city_artificer_talk2","Lisha/Any/1_1_city_artificer_talk2.1",1,"Talk","char","interact,1","select:yesno,replayable,hold"
,,,,,"yes","enchant"
,"Lisha/Any/1_1_city_artificer_talk2.no1",1,"Bow",,"no","interact,hold"
"Kemilsz/Rodhinbar/1_1_city_artificer_talk1","Kemilsz/Rodhinbar/1_1_city_artificer_talk1.1",2,"Talk","char","interact,2","interact,hold"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.2",2,,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.3","pm","Talk","char",,"interact,hold"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.4",2,,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.5","pm",,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.6","pm",,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.7",2,,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.8","pm",,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.9","pm",,,,"interact"
,"Kemilsz/Rodhinbar/1_1_city_artificer_talk1.10",2,"Bow",,,"interact"
"Kemilsz/Rodhinbar/1_1_city_artificer_talk2","Kemilsz/Rodhinbar/1_1_city_artificer_talk2.1",2,"Talk","char",,"interact,hold"
"Kemilsz/Any/1_1_city_artificer_talk1","Kemilsz/Any/1_1_city_artificer_talk1.1",2,"Talk","char","interact,2","interact,hold"
,"Kemilsz/Any/1_1_city_artificer_talk1.2",2,"Bow",,,"interact"
