"ID","Text ID","Object","Animation","Type","Trigger","Property"
"Severn/Nayedien/1_1_city_barrack_talk1","Severn/Nayedien/1_1_city_barrack_talk1.1",1,"Talk","char","interact,1","interact,hold"
,"Severn/Nayedien/1_1_city_barrack_talk1.2",1,,,,"interact"
,"Severn/Nayedien/1_1_city_barrack_talk1.3",1,,,,"interact"
,"Severn/Nayedien/1_1_city_barrack_talk1.4",1,,,,"interact"
,"Severn/Nayedien/1_1_city_barrack_talk1.5",1,,,,"interact"
,"Severn/Nayedien/1_1_city_barrack_talk1.6","pm","Talk",,,"interact,hold"
,"Severn/Nayedien/1_1_city_barrack_talk1.7","pm",,,,"interact"
,"Severn/Nayedien/1_1_city_barrack_talk1.8",1,,,,"interact"
"Severn/Vraesier/1_1_city_barrack_talk1","Severn/Vraesier/1_1_city_barrack_talk1.1",1,"Talk","char","interact,1","interact,hold"
,"Severn/Vraesier/1_1_city_barrack_talk1.2","pm","Talk",,,"interact,hold"
,"Severn/Vraesier/1_1_city_barrack_talk1.3",1,,,,"interact"
,"Severn/Vraesier/1_1_city_barrack_talk1.4","pm","Cross",,,"interact,hold"
,"Severn/Vraesier/1_1_city_barrack_talk1.5",1,,,,"interact"
,"Severn/Vraesier/1_1_city_barrack_talk1.6","pm",,,,"interact"
,"Severn/Vraesier/1_1_city_barrack_talk1.7",1,,,,"interact"
,"Severn/Vraesier/1_1_city_barrack_talk1.8","pm",,,,"interact"
"Severn/Any/1_1_city_barrack_talk1","Severn/Any/1_1_city_barrack_talk1.1",1,"Talk","char","interact,1","interact,hold"
,"Severn/Any/1_1_city_barrack_talk1.2",1,,,,"interact"
,"Severn/Any/1_1_city_barrack_talk1.3",1,,,,"interact"
,"Severn/Any/1_1_city_barrack_talk1.4",1,,,,"interact"
,"Severn/Any/1_1_city_barrack_talk1.5",1,,,,"interact"
"Severn/Any/1_1_city_barrack_talk2","Severn/Any/1_1_city_barrack_talk2.1",1,"Talk","char","interact,1","interact,hold"
"Merlaros/Any/1_1_city_barrack_talk1","Merlaros/Any/1_1_city_barrack_talk1.1",2,"Talk","char","interact,2","interact,hold"
,"Merlaros/Any/1_1_city_barrack_talk1.2",2,,,,"interact"
,"Merlaros/Any/1_1_city_barrack_talk1.3",2,,,,"interact"
,"Merlaros/Any/1_1_city_barrack_talk1.4",2,,,,"interact"
,"Merlaros/Laguasangte/1_1_city_barrack_talk1.1",2,"Talk","char","interact,2","interact,hold"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
