"Object ID","ID","Scene","POS","Ground Y POS","Angle","Start Health","Team","Arrive Condition","Stage Property"
1,"Animal_snail_sword",2,"180,1000","1000",90,1,2,,
2,"Animal_snail_sword",2,"380,1000","1000",90,1,2,,
3,"Rban_spear",2,"580,1000","1000",90,1,2,,
4,"Rban_sword",2,"680,1000","1000",90,1,2,,
5,"Rban_sling",2,"680,1000","1000",90,1,2,,
6,"Rban_sling",2,"780,1000","1000",90,1,2,,
7,"Rban_spear",2,"1030,1000","1000",90,1,2,,
8,"Rban_bow",2,"1080,1000","1000",90,1,2,,
9,"Rban_bow",2,"1280,1000","1000",90,1,2,,
10,"Rban_hole",2,"1580,1000","1000",90,1,2,,
11,"Rban_bow",2,"1680,1000","1000",90,1,2,,
12,"Rban_bow",2,"1780,1000","1000",90,1,2,,
13,"Rban_sling",2,"1880,1000","1000",90,1,2,,
14,"Rban_hole",3,"660,1000","1000",90,1,2,,
15,"Rban_cav",3,"860,1000","1000",90,1,2,,
16,"Rban_sling",3,"960,1000","1000",90,1,2,,
17,"Rban_sword",3,"1010,1000","1000",90,1,2,,
18,"Animal_snail_old",3,"1160,1000","1000",90,1,2,,
19,"Rban_hole",3,"1160,1000","1000",90,1,2,,
20,"Animal_snail_sword",3,"1360,1000","1000",90,1,2,,
21,"Rban_cav",3,"1460,1000","1000",90,1,2,,
22,"Rban_bow",3,"1560,1000","1000",90,1,2,,
23,"Rban_spear",3,"1900,400",1000,90,1,2,"arrive,camera_scene,fly",
24,"Rban_spear",3,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:1",
25,"Rban_sword",4,"190,1000","1000",90,1,2,,
26,"Rban_hole",4,"340,1000","1000",90,1,2,,
27,"Animal_snail_sword",4,"1040,1000","1000",90,1,2,,
28,"Animal_snail_old",4,"1440,1000","1000",90,1,2,,
29,"Rban_sling",4,"1740,1000","1000",90,1,2,,
30,"Rban_sling",4,"1840,1000","1000",90,1,2,,
31,"Rban_spear",5,"0,400",1000,90,1,2,"arrive,camera_scene,fly",
32,"Rban_spear",5,"0,400",1000,90,1,2,"arrive,camera_scene,fly,delay:1",
33,"Rban_hole",5,"420,1000","1000",90,1,2,,
34,"Animal_snail_sword",5,"670,1000","1000",90,1,2,,
35,"Animal_snail_old",5,"870,1000","1000",90,1,2,,
36,"Animal_snail_old",5,"920,1000","1000",90,1,2,,
37,"Rban_cav",5,"1320,1000","1000",90,1,2,,
38,"Rban_cav",5,"1420,1000","1000",90,1,2,,
39,"Rban_sword",5,"1520,1000",1000,90,1,2,,
40,"Rban_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly",
41,"Rban_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly",
42,"Rban_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly",
43,"Rban_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5",
44,"Rban_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5.5",
45,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5",
46,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5.5",
47,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:10",
48,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:10.5",
49,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:12",
50,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:15",
51,"Rban_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly,delay:15.5",
52,"Rban_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly",
53,"Rban_bow",6,"1900,1000",1000,90,1,2,"camera_scene",
54,"Rban_bow",6,"1900,1000",1000,90,1,2,"camera_scene",
55,"Rban_bow",6,"10,1000",1000,90,1,2,"camera_scene",
56,"Rban_bow",6,"10,1000",1000,90,1,2,"camera_scene,delay:5",
57,"Rban_sword",6,"1900,1000",1000,90,1,2,"camera_scene",
58,"Rban_sling",6,"1900,1000",1000,90,1,2,"camera_scene",
59,"Rban_sling",6,"10,1000",1000,90,1,2,"camera_scene,delay:6",
60,"Rban_sling",6,"10,1000",1000,90,1,2,"camera_scene",
61,"Rban_cav",6,"1900,1000",1000,90,1,2,"camera_scene,delay:5",
62,"Rban_cav",6,"10,1000",1000,90,1,2,"camera_scene,delay:5",
63,"Rban_cav",6,"1900,1000",1000,90,1,2,"camera_scene,delay:10",
64,"Rban_cav",6,"10,1000",1000,90,1,2,"camera_scene,delay:10",
65,"Rban_cav",6,"10,1000",1000,90,1,2,"camera_scene,delay:15",
66,"Animal_snail_sword",6,"1900,1000",1000,90,1,2,"camera_scene,delay:5",
67,"Animal_snail_sword",6,"10,1000",1000,90,1,2,"camera_scene,delay:10",
68,"Animal_snail_old",6,"1900,1000",1000,90,1,2,"camera_scene,delay:10",
69,"Animal_snail_old",6,"10,1000",1000,90,1,2,"camera_scene,delay:15",
70,"Rban_sword",6,"1900,1000",1000,90,1,2,"camera_scene",
71,"Rban_hole",6,"400,1000",1000,90,1,2,,
72,"Rban_hole",6,"900,1000",1000,90,1,2,,
73,"Rban_hole",6,"1100,1000",1000,90,1,2,,
74,"Rban_hole",6,"1400,1000",1000,90,1,2,,
75,"Rban_hole",6,"1600,1000",1000,90,1,2,,
