"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event1/1_1_city_cathedral",,"Monnirl",,"create","start,once","POS:(680;980),Angle:-90"
,,"Worshipper_one",,"create",,"POS:(800;1000),Angle:90"
,,"Worshipper_two",,"create",,"POS:(900;1000),Angle:90"
,,"Shopper_three",,"create",,"POS:(1000;1000),Angle:90,Stage Property:{idle=Worship}"
,,"Barman_two",,"create",,"POS:(1100;1000),Angle:90,Stage Property:{idle=Worship}"
,,2,,"hide",,
,,3,,"hide",,
,,4,,"hide",,
,"event/1_1_city_cathedral_talk1.1","Monnirl","Talk",,,"interact,hold"
,"event/1_1_city_cathedral_talk1.2","Monnirl","StopTalk",,,"interact"
,"event/1_1_city_cathedral_talk1.3","Monnirl",,,,"interact"
,"event/1_1_city_cathedral_talk1.4","Monnirl",,,,"interact"
,"event/1_1_city_cathedral_talk1.5","Monnirl",,,,"interact"
,"event/1_1_city_cathedral_talk1.6","Monnirl",,,,"interact"
,,"Monnirl","Bless","cutscene",,"wait"
,,"camera","blackout","cutscene",,"timer:2"
,,"Monnirl",,"remove",,
,,"Worshipper_one",,"remove",,
,,"Worshipper_two",,"remove",,
,,"Shopper_three",,"remove",,
,,"Barman_two",,"remove",,
"music/scene1",,"cathedral",,"music","camera_reach_scene,1",
"Orsanoas/Vraesier/1_1_city_cathedral_talk1","Orsanoas/Vraesier/1_1_city_cathedral_talk1.1",1,"CityTalk","char","interact,1","interact,hold,repeat after"
,,1,"StopCityTalk",,,"repeat after"
,,1,"TalkIdle",,,"repeat after"
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.2","pm","Talk",,,"interact,hold,repeat after"
,,"pm","StopTalk",,,
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.3",1,"TalkIdle",,,"interact,repeat after"
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.4","pm",,,,"interact"
,,1,"Approve",,,"wait"
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.5",1,"TalkIdle",,,"interact,repeat after"
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.6",1,"TalkIdle",,,"interact,repeat after"
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.7","pm","Nod",,,"interact"
,"Orsanoas/Vraesier/1_1_city_cathedral_talk1.8",1,"TalkIdle",,,"interact,repeat"
"Orsanoas/Minara/1_1_city_cathedral_talk1","Orsanoas/Minara/1_1_city_cathedral_talk1.1",,,"char","interact,1","interact,hold"
"Orsanoas/Rodhinbar/1_1_city_cathedral_talk1","Orsanoas/Rodhinbar/1_1_city_cathedral_talk1.1","pm","Talk","char","interact,1","interact,hold,repeat after"
,,"pm","StopTalk",,,
,"Orsanoas/Rodhinbar/1_1_city_cathedral_talk1.2","pm",,,,"interact"
,"Orsanoas/Rodhinbar/1_1_city_cathedral_talk1.3",1,"CityTalk",,,"interact,hold,repeat after"
,,1,"StopCityTalk",,,
