"ID","Text ID","Object","Animation","Type","Trigger","Property"
"music/scene1",,"herbalist",,"music","camera_reach_scene,1",
"Sasinola/Pasgelo/1_1_city_herbalist_talk1","Sasinola/Pasgelo/1_1_city_herbalist_talk1.1",,"Talk","char","interact,1","interact,hold"
"Sasinola/Any/1_1_city_herbalist_talk1","Sasinola/Any/1_1_city_herbalist_talk1.1",1,"Talk","char","interact,1","interact,hold,repeat after"
,"Sasinola/Any/1_1_city_herbalist_talk1.2",1,"StopTalk",,,"interact"
,"Sasinola/Any/1_1_city_herbalist_talk1.3",1,,,,"interact"
,"Sasinola/Any/1_1_city_herbalist_talk1.4",1,,,,"interact"
,"Sasinola/Any/1_1_city_herbalist_talk1.5",1,,,,"interact"
"Sasinola/Any/1_1_city_herbalist_talk2","Sasinola/Any/1_1_city_herbalist_talk2.1",1,"Talk","char","interact,1","select:yesno,replayable,hold,repeat after"
,,1,"StopTalk",,"yes","shop"
,"Sasinola/Any/1_1_city_herbalist_talk2no1",1,"StopTalk",,"no","interact"
"Pasgelo/Vraesier/1_1_city_herbalist_talk1","Pasgelo/Vraesier/1_1_city_herbalist_talk1.1",2,"Talk","char","interact,2","interact,hold,repeat after"
,"Pasgelo/Vraesier/1_1_city_herbalist_talk1.2",2,"StopTalk",,,"interact"
,"Pasgelo/Vraesier/1_1_city_herbalist_talk1.3","pm","Talk",,,"interact,repeat after"
,,"pm","StopTalk",,,
,"Pasgelo/Vraesier/1_1_city_herbalist_talk1.4",2,,,,"interact"
"Pasgelo/Vraesier/1_1_city_herbalist_talk2","Pasgelo/Vraesier/1_1_city_herbalist_talk2.1",2,"Talk","char","interact,2","interact,hold,replayable,repeat after"
,,2,"StopTalk",,,
"Pasgelo/Rodhinbar/1_1_city_herbalist_talk1","Pasgelo/Rodhinbar/1_1_city_herbalist_talk1.1",2,"Talk",,,"interact,hold,repeat after"
,"Pasgelo/Rodhinbar/1_1_city_herbalist_talk1.2",2,"StopTalk",,,"interact"
,"Pasgelo/Rodhinbar/1_1_city_herbalist_talk1.3","pm","Talk",,,"interact,hold,repeat after"
,,"pm","StopTalk",,,
,"Pasgelo/Rodhinbar/1_1_city_herbalist_talk1.4",2,,,,"interact"
"Pasgelo/Rodhinbar/1_1_city_herbalist_talk2","Pasgelo/Rodhinbar/1_1_city_herbalist_talk2.1",2,"Talk","char","interact,2","interact,hold,replayable,repeat after"
,,2,"StopTalk",,,
"Pasgelo/Iri/1_1_city_herbalist_talk1","Pasgelo/Iri/1_1_city_herbalist_talk1.1",2,"Talk",,,"interact,hold,repeat after"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.2",2,"StopTalk",,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.3",2,,,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.4","pm","Talk",,,"interact,hold,repeat after"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.5","pm","StopTalk",,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.6","pm",,,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.7","pm",,,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.8",2,,,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.9","pm",,,,"interact"
,"Pasgelo/Iri/1_1_city_herbalist_talk1.10",2,,,,"interact"
"Pasgelo/Iri/1_1_city_herbalist_talk2","Pasgelo/Iri/1_1_city_herbalist_talk2.1",2,"Talk","char","interact,2","interact,hold,replayable,repeat after"
,,2,"StopTalk",,,
"Pasgelo/Nayedien/1_1_city_herbalist_talk1","Pasgelo/Nayedien/1_1_city_herbalist_talk1.1",2,,,,"interact"
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.2","pm","Talk",,,"interact,hold,repeat after"
,,"pm","StopTalk",,,
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.3",2,"Talk",,,"interact,hold,repeat after"
,,2,"StopTalk",,,
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.4","pm",,,,"interact"
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.5",2,,,,"interact"
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.6","pm",,,,"interact"
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.7",2,,,,"interact"
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.8",2,,,,"interact"
,"Pasgelo/Nayedien/1_1_city_herbalist_talk1.9","pm",,,,"interact"
"Pasgelo/Nayedien/1_1_city_herbalist_talk2","Pasgelo/Nayedien/1_1_city_herbalist_talk2.1",2,"Talk","char","interact,2","interact,hold,replayable,repeat after"
,,2,"StopTalk",,,
"Pasgelo/Elmaliern/1_1_city_herbalist_talk1","Pasgelo/Elmaliern/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Laguasangte/1_1_city_herbalist_talk1","Pasgelo/Laguasangte/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Orsanoas/1_1_city_herbalist_talk1","Pasgelo/Orsanoas/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Bauqah/1_1_city_herbalist_talk1","Pasgelo/Bauqah/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Minara/1_1_city_herbalist_talk1","Pasgelo/Minara/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Duskuksa/1_1_city_herbalist_talk1","Pasgelo/Duskuksa/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Yuawies/1_1_city_herbalist_talk1","Pasgelo/Yuawies/1_1_city_herbalist_talk1.1",,"Talk","char","interact,2","interact,hold"
"Pasgelo/Any/1_1_city_herbalist_talk2","Pasgelo/Any/1_1_city_herbalist_talk2.1",2,"Talk","char","interact,2","interact,hold,replayable,repeat after"
,,2,"StopTalk",,,
"Sihest/Orsanoas/1_1_city_herbalist_talk1","Sihest/Orsanoas/1_1_city_herbalist_talk1.1",,"Talk","char","interact,3","interact,hold"
"Sihest/Yuawies/1_1_city_herbalist_talk1","Sihest/Yuawies/1_1_city_herbalist_talk1.1",,"Talk","char","interact,3","interact,hold"
"Sihest/Any/1_1_city_herbalist_talk1","Sihest/Any/1_1_city_herbalist_talk1.1",3,"Talk","char","interact,3","interact,hold,repeat after"
,,3,"StopTalk",,,"repeat after"
,"Sihest/Any/1_1_city_herbalist_talk1.2",3,"Offer",,,"interact,hold,repeat after"
,"Sihest/Any/1_1_city_herbalist_talk1.3",3,"StopOffer",,,"interact"
,"Sihest/Any/1_1_city_herbalist_talk1.4",3,,,,"interact"
,"Sihest/Any/1_1_city_herbalist_talk1.5",3,"Bow",,,"interact,hold,repeat after"
,,3,"StopBow",,,
"Sihest/Any/1_1_city_herbalist_talk2","Sihest/Any/1_1_city_herbalist_talk2.1",3,"Talk","char","interact,3","interact,hold,replayable,repeat after"
,,3,"StopTalk",,,
