"Object ID","ID","Scene","POS","Angle","Team","Behaviour","Followers","Arrive Condition","Stage Property"
"p1",,1,"100,700",-90,1,,,,
"p2",,1,"100,900",-90,1,,,,
1,"Militia",1,"200,700",-90,1,,"Small Volunteer",,
2,"Militia",1,"200,800",-90,1,,"Small Volunteer",,
3,"Militia",1,"200,900",-90,1,,"Small Volunteer",,
4,"Militia",1,"300,700",-90,1,,"Small Volunteer",,
5,"Militia",1,"300,800",-90,1,,"Small Militia",,
6,"Militia",1,"300,900",-90,1,,"Small Militia",,
7,"Rabbit_spear",2,"1580,700",90,2,,"Rabbit Patrol",,
8,"Rabbit_spear",2,"1580,900",90,2,,"Rabbit Patrol",,
9,"Rabbit_bow",2,"1880,700",90,2,,"Rabbit Skirmisher",,
10,"Rabbit_bow",2,"1880,900",90,2,,"Rabbit Skirmisher",,
11,"Rabbit_hole",2,"1450,700",90,2,,,,
12,"Rabbit_hole",3,"1450,900",90,2,,,,
13,"Rabbit_hole",3,"1550,730",90,2,,,,
14,"Rabbit_hole",3,"1550,820",90,2,,,,
15,"Rabbit_bow",3,"810,900",90,2,,"Rabbit Skirmisher",,
16,"Rabbit_spear",3,"1160,850",90,2,,"Rabbit Frontline",,
17,"Rabbit_spear",3,"1160,750",90,2,,"Rabbit Patrol",,
18,"Rabbit_sword",3,"1410,800",90,2,,"Rabbit Frontline",,
19,"Rabbit_sword",4,"240,700",90,2,,"Rabbit Defender",,
20,"Rabbit_hole",4,"250,760",90,2,,,,
21,"Rabbit_hole",4,"320,810",90,2,,,,
22,"Rabbit_hole",4,"500,840",90,2,,,,
23,"Rabbit_hole",4,"650,740",90,2,,,,
24,"Rabbit_bow",4,"1540,800",90,2,,"Rabbit Patrol",,
25,"Rabbit_bow",4,"1640,900",90,2,,"Rabbit Skirmisher",,
26,"Rabbit_cav",4,"1100,700",90,2,,"Snail Gang",,
27,"Rabbit_sword",4,"1000,850",90,2,,"Rabbit Defender",,
28,"Rabbit_spear",4,"1000,950",90,2,,"Rabbit Skirmisher",,
