"Object ID","ID","Scene","POS","Ground Y POS","Angle","Start Health","Team","Arrive Condition","Stage Property"
1,"Animal_snail_sword",2,"180,1000","1000",90,1,2,,
2,"Animal_snail_sword",2,"380,1000","1000",90,1,2,,
3,"Rabbit_spear",2,"580,1000","1000",90,1,2,,
4,"Rabbit_sword",2,"680,1000","1000",90,1,2,,
5,"Rabbit_sling",2,"680,1000","1000",90,1,2,,
6,"Rabbit_sling",2,"780,1000","1000",90,1,2,,
7,"Rabbit_spear",2,"1030,1000","1000",90,1,2,,
8,"Rabbit_bow",2,"1080,1000","1000",90,1,2,,
9,"Rabbit_bow",2,"1280,1000","1000",90,1,2,,
10,"Rabbit_hole",2,"1580,1000","1000",90,1,2,,
11,"Rabbit_bow",2,"1680,1000","1000",90,1,2,,
12,"Rabbit_bow",2,"1780,1000","1000",90,1,2,,
13,"Rabbit_sling",2,"1880,1000","1000",90,1,2,,
14,"Rabbit_hole",3,"660,1000","1000",90,1,2,,
15,"Rabbit_cav",3,"860,1000","1000",90,1,2,,
16,"Rabbit_sling",3,"960,1000","1000",90,1,2,,
17,"Rabbit_sword",3,"1010,1000","1000",90,1,2,,
18,"Animal_snail_old",3,"1160,1000","1000",90,1,2,,
19,"Rabbit_hole",3,"1160,1000","1000",90,1,2,,
20,"Animal_snail_sword",3,"1360,1000","1000",90,1,2,,
21,"Rabbit_cav",3,"1460,1000","1000",90,1,2,,
22,"Rabbit_bow",3,"1560,1000","1000",90,1,2,,
23,"Rabbit_spear",3,"1900,400",1000,90,1,2,"arrive,camera_scene,fly",
24,"Rabbit_spear",3,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:1",
25,"Rabbit_sword",4,"190,1000","1000",90,1,2,,
26,"Rabbit_hole",4,"340,1000","1000",90,1,2,,
27,"Animal_snail_sword",4,"1040,1000","1000",90,1,2,,
28,"Animal_snail_old",4,"1440,1000","1000",90,1,2,,
29,"Rabbit_sling",4,"1740,1000","1000",90,1,2,,
30,"Rabbit_sling",4,"1840,1000","1000",90,1,2,,
31,"Rabbit_spear",5,"0,400",1000,90,1,2,"arrive,camera_scene,fly",
32,"Rabbit_spear",5,"0,400",1000,90,1,2,"arrive,camera_scene,fly,delay:1",
33,"Rabbit_hole",5,"420,1000","1000",90,1,2,,
34,"Animal_snail_sword",5,"670,1000","1000",90,1,2,,
35,"Animal_snail_old",5,"870,1000","1000",90,1,2,,
36,"Animal_snail_old",5,"920,1000","1000",90,1,2,,
37,"Rabbit_cav",5,"1320,1000","1000",90,1,2,,
38,"Rabbit_cav",5,"1420,1000","1000",90,1,2,,
39,"Rabbit_sword",5,"1520,1000",1000,90,1,2,,
40,"Rabbit_hole",6,"400,1000",1000,90,1,2,,
41,"Rabbit_hole",6,"900,1000",1000,90,1,2,,
42,"Rabbit_hole",6,"1100,1000",1000,90,1,2,,
43,"Rabbit_hole",6,"1400,1000",1000,90,1,2,,
44,"Rabbit_hole",6,"1600,1000",1000,90,1,2,,
45,"Rabbit_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly",
46,"Rabbit_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly",
47,"Rabbit_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly",
48,"Rabbit_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5",
49,"Rabbit_spear",6,"10,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5.5",
50,"Rabbit_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5",
51,"Rabbit_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:5.5",
52,"Rabbit_spear",6,"1900,400",1000,90,1,2,"arrive,camera_scene,fly,delay:10",
