"ID","Faction","Condition","Effect"
"leader_join_monnirl",,"building_exist:{castle_faith_2_cathedral=1}","leader_unlock:leader_monnirl"
"leader_join_champion","castle","region_number:2","leader_unlock:leader_champion"
"leader_join_aquanturas",,"control_region:castle_rendon_suclin ","leader_unlock:leader_aquanturas"
"leader_join_vurus","castle","region_number:14","leader_unlock:leader_vurus"
"leader_join_quivenly",,"building_exist:{castle_tech_c1_library=2}","leader_unlock:leader_quivenly"
"leader_join_nayedien","castle","turn:50","leader_unlock:leader_nayedien"
"leader_join_savalorse",,"building_exist:{castle_settlement_5_flower_castle=1}","leader_unlock:leader_savalorse"
"leader_join_iri","small","region_number:8","leader_unlock:leader_iri"
"leader_join_adaqua",,"control_region:rabbit_forest4","leader_unlock:leader_adaqua"
"leader_join_buikuuh","small","region_number:6,leader_unlock:leader_vasla,building_exist:{small_tech_a1_fur_hardener=1}","leader_unlock:leader_buikuuh"
"leader_join_yuawies","small","building_exist:{small_faith_1_shrine=3}","leader_unlock:leader_yuawies"
"leader_join_nalana",,"building_exist:{small_food_2.2_flower_garden=3}","leader_unlock:leader_nalana"
"leader_join_olsilin",,"building_exist:{small_fun_1_water_spring=2}","leader_unlock:leader_olsilin"
"leader_join_vasla","small","control_region:rabbit_forest1","leader_unlock:leader_vasla"
"leader_join_nadvalin","small","control_region:near_rabbit_forest3","leader_unlock:leader_nadvalin"
"leader_join_peltino","small","turn:70","leader_unlock:leader_peltino"
,,,
"leader_join_amgarn",,"random:100","leader_unlock:leader_amgarn"
"leader_join_amunsa",,"random:100","leader_unlock:leader_amunsa"
"leader_join_dashisi",,"random:100","leader_unlock:leader_dashisi"
"leader_join_diezralvir",,"random:100","leader_unlock:leader_diezralvir"
"leader_join_elmaliern",,"random:100","leader_unlock:leader_elmaliern"
"leader_join_entaguz",,"random:100","leader_unlock:leader_entaguz"
"leader_join_eona",,"random:100","leader_unlock:leader_eona"
"leader_join_filia",,"random:100","leader_unlock:leader_filia"
"leader_join_kapuni",,"random:100","leader_unlock:leader_kapuni"
"leader_join_kutip'aeh",,"random:100","leader_unlock:leader_kutip'aeh"
"leader_join_mratarvir",,"random:100","leader_unlock:leader_mratarvir"
"leader_join_nraesier",,"random:100","leader_unlock:leader_nraesier"
"leader_join_oanogoht",,"random:100","leader_unlock:leader_oanogoht"
"leader_join_parna",,"random:100","leader_unlock:leader_parna"
"leader_join_remance",,"random:100","leader_unlock:leader_remance"
"leader_join_sonagsha",,"region_number:30","leader_unlock:leader_sonagsha"
"leader_join_unsi_ed",,"random:100","leader_unlock:leader_unsi_ed"
"leader_join_vraesier",,"random:100","leader_unlock:leader_vraesier"
,,,
"leader_upgrade_1_monnirl","any","leader_exist:leader_monnirl,building_exist:{castle_faith_2_cathedral=4}","leader_upgrade:(leader_monnirl,leader_monnirl_saint)"
"leader_upgrade_1_adaqua","any","leader_exist:leader_adaqua,building_exist:{small_money_b2_hunting_log=3}","leader_upgrade:(leader_adaqua,leader_adaqua_huntress)"
,,,
,,,
,,,
,,,"leader_nayedien_queen"
,,,
,,,
,,,
,,,
"leader_upgrade_1_bigta","small","turn:150","leader_replace:(leader_bigta,leader_bigta_sintor)"
"leader_upgrade_2_bigta","small","turn:150","leader_replace:(leader_bigta,leader_bigta_bersa)"
,,,
,,"leader_in_battle_victory:()",
,,,
"leader_castle_amgarn","castle","leader_exist:leader_amgarn","happiness:-10"
"leader_castle_amgarn2","castle","leader_exist:leader_amgarn,event_happen:(leader_castle_amgarn;6)","choices:(leader_castle_amgarn2.1;leader_castle_amgarn2.2)"
"leader_castle_amgarn2.1","castle",,
"leader_castle_amgarn2.2","castle",,
